Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240228090011,0.18,1017.73,31.49,38.49,58577.94,1361.11
20240228091011,0.27,1017.66,33.19,34.98,62333.59,1479.82
20240228092011,0.46,1017.61,33.96,32.98,62931.05,1478.53
20240228093011,0.2,1017.5,35.5,30.89,68778.8,1587.64
20240228094011,0.54,1017.4,35.88,29.58,73161.92,1621.98
20240228095011,0.46,1017.34,36.5,28.62,79109.22,1654.63
20240228100011,0.42,1017.13,37.23,26.81,87920.56,1714.41
20240228101011,0.38,1016.96,37.83,26.34,92978.04,1698.16
20240228102011,0.61,1016.79,37.9,26.46,102021.7,1739.66
20240228103011,0.73,1016.64,37.62,26.29,105696.13,1729.31
20240228104011,0.88,1016.46,33.92,31.77,45345.94,703.68
20240228105011,0.77,1016.25,27.69,43.97,8514,26.06
20240228110011,0.31,1016.02,26.15,48.87,7785.34,22.38
20240228111011,0.4,1015.77,26.27,49.62,7285,19.72
20240228112011,0.43,1015.48,26,50.31,7248,18.3
20240228113011,0.24,1015.3,26.07,50.93,7791.75,20.1
20240228114011,0.59,1015.03,26.06,51,6374.33,15.46
20240228115011,1.64,1014.87,25.29,52.93,6990.67,17.77
20240228120011,1.54,1014.63,24.94,54,6859.17,17.6
20240228121011,1.37,1014.42,24.87,54.5,5738.5,13.62
20240228122011,0.92,1014.2,25.31,53.21,5967.5,13.73
20240228123011,0.59,1014.03,25.1,53.62,7858.92,21.35
20240228124011,0.48,1013.84,25.57,53.38,8240,21.29
20240228125011,0.34,1013.7,25.55,53.7,6498.67,13.93
20240228130011,0.32,1013.55,24.78,56.64,4800.17,8.8
20240228131011,0.31,1013.29,24.84,56.39,4436.08,7.32
20240228132011,1.38,1013.14,24.34,57.62,4184.83,6.07
20240228133011,1.33,1013.05,23.64,60.44,3392.33,4.32
20240228134011,1.2,1012.92,23.66,61.02,5718.92,10.61
20240228135011,1.3,1012.77,23.88,60.53,6351.25,13.7
20240228140011,1.2,1012.65,23.84,60.6,5779,11.13
20240228141011,0.84,1012.56,23.83,60.88,5049.67,8.8
20240228142011,0.55,1012.5,23.68,61.68,3320,4.08
20240228143011,0.98,1012.43,23.33,62.75,2556.58,2.48
20240228144011,0.44,1012.27,23.09,63.98,2201.83,1.9
