Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240301160012,0.13,1015.95,17.3,75.39,2470.83,1.26
20240301161012,0.16,1015.99,17.02,76.84,2126.67,0.88
20240301162012,0.3,1016.14,16.67,78.86,1291.75,0.37
20240301163012,0.15,1016.23,16.58,81.07,1211.33,0.33
20240301164012,0.41,1016.29,16.36,81.9,1662.58,0.59
20240301165012,0.47,1016.32,16.06,81.82,1033.42,0.25
20240302090012,0.16,1020.07,15.24,91.57,7150.83,12.72
20240302091012,0.05,1020.05,15.8,90.29,10986.67,27.27
20240302092012,0.4,1020.03,16.14,89.09,11774.5,31.21
20240302093012,0.25,1020.02,16.54,88.07,11342.83,28.82
20240302094012,0.03,1019.96,16.51,89.14,9599.67,20.17
20240302095012,0.03,1019.97,16.95,88.4,12791.58,36.16
20240302100012,0.2,1019.88,17.04,86.03,12686.08,36.43
20240302101012,0,1019.8,17.55,85.41,12158.75,34.72
20240302102012,0.13,1019.88,16.96,79.88,6967.67,9.19
20240302103012,0.23,1019.97,16.85,79.52,14024.83,41.35
20240302104012,0.24,1019.72,17.08,79.99,15911.42,56.6
20240302105012,0.03,1019.62,17.76,77.92,16900.75,66.72
20240302110012,0.24,1019.58,18.01,74.3,13967.33,48.69
20240302111012,0.02,1019.72,17.03,76.31,6387.75,8.81
20240302112012,0.32,1019.54,17,76.84,16085.83,62.54
20240302113012,0.54,1019.18,18.09,74.38,22045.33,117.37
20240302114012,0.89,1018.91,17.32,76.45,17253.67,68.13
20240302115012,0.38,1018.84,17.87,74.1,13444,56.72
20240302120012,0.28,1018.88,16.63,77.88,3666.25,2.53
20240302121012,0.06,1018.81,16.07,82.68,5135.5,5.32
20240302122012,0.03,1018.63,15.92,86.34,7014.42,11.95
20240302123012,0.02,1018.45,16.31,85.76,10780.5,31.34
20240302124012,0.04,1018.37,16.29,84.57,5729.83,7.44
20240302125012,0,1018.09,15.87,86.84,6137.83,8.02
20240302130012,0,1017.81,15.97,86.94,6931.67,10.96
20240302131012,0,1017.59,16.18,87.4,6380.5,8.27
20240302132012,0,1017.46,16.12,88.69,4360.17,3.81
20240302133012,0,1017.25,16.03,86.87,5480.42,6.03
20240302134012,0,1017.09,16.12,84.3,7548.25,12.15
20240302135012,0.09,1016.82,16.82,82.41,11723.17,30.51
20240302140012,0.1,1016.77,16.79,80.82,6427.33,8.73
20240302141012,0,1016.59,16.5,82.14,5609.17,6.8
20240302142012,0,1016.51,16.6,83.22,5568.42,6.81
20240302143012,0,1016.55,16.66,82.16,5779.58,7.32
20240302144012,0,1016.39,16.59,82.98,5467.08,7.91
20240302145012,0,1016.36,16.44,84.96,4830.25,6.07
20240302150012,0,1016.3,16.5,83.52,4858.25,6.93
20240302151012,0,1016.32,16.21,82.59,2217.67,1.34
20240302152012,0.1,1016.24,15.97,83.59,2373,1.45
